Designator,Mid X,Mid Y,Layer,Rotation
C1,15.80,41.90,Top,180
C2,6.50,41.00,Top,90
C3,9.50,32.50,Top,270
C4,9.50,41.00,Top,90
C5,8.40,20.60,Top,270
C6,14.50,10.00,Top,270
C7,25.00,14.10,Top,180
C8,19.50,10.00,Top,270
C9,5.00,29.50,Top,90
C10,23.90,29.55,Top,180
C11,5.00,17.30,Top,180
C12,9.00,17.30,Top,180
IC1,16.01,20.44,Top,90
IC2,24.00,8.15,Top,270
L1,8.40,23.80,Top,270
LED1,4.00,4.00,Top,270
LED2,8.00,4.00,Top,270
LED3,6.00,4.00,Top,270
R1,8.00,38.20,Top,180
R2,8.00,35.20,Top,180
R3,10.50,26.00,Top,270
R4,17.00,10.00,Top,270
R5,15.00,31.00,Top,270
R6,12.50,31.00,Top,90
R7,9.00,15.20,Top,0
R8,9.00,13.10,Top,0
R9,9.00,11.00,Top,0
R10,5.00,11.00,Top,0
R11,5.00,15.20,Top,0
R12,5.00,13.10,Top,0
R13,3.80,7.40,Top,90
R14,8.00,7.40,Top,270
R15,5.90,7.40,Top,270
U1,21.50,37.00,Top,270
